context;importance;human;response
"Art. 369.- Uso de la marca por parte de terceros con propósitos informativos.- Siempre que se haga de buena fe y no constituya uso a título de marca, los terceros podrán, sin consentimiento del titular de la marca registrada, utilizar en el comercio su propio nombre, domicilio o seudónimo; un nombre geográfico; o, cualquier otra indicación cierta relativa a la especie, calidad, cantidad, destino, valor, lugar de origen o época de producción de sus productos o de la prestación de sus servicios u otras características de éstos; siempre que tal uso se limite a propósitos de identificación o de información y no sea capaz de inducir al público a error sobre la procedencia de los productos o servicios.";Alta;Un tercero puede utilizar un nombre geográfico en el comercio sin consentimiento del titular de una marca registrada siempre que se haga con propósitos informativos y no constituya uso a título de marca?;Sí, según el Artículo 369, un tercero puede utilizar un nombre geográfico en el comercio sin necesidad del consentimiento del titular de la marca registrada. Esto siempre que se haga con propósitos informativos y no sea capaz de inducir al público a error sobre la procedencia de los productos o servicios.
"Art. 370.- Uso de marca para anuncio.- El registro de la marca no conferirá a su titular el derecho de prohibir a un tercero usar la marca para anunciar, inclusive en publicidad comparativa, ofrecer en venta o indicar la existencia o disponibilidad de productos o servicios legítimamente marcados; o, para indicar la compatibilidad o adecuación de piezas de recambio o de accesorios utilizables con los productos de la marca registrada; siempre que en ambos casos tal uso sea de buena fe, se limite el propósito de información al público para la venta y no sea susceptible de inducirlo a error o confusión sobre el origen empresarial de los productos respectivos.";Alta;Un tercero puede usar una marca registrada para indicar la existencia o disponibilidad de un producto legítimamente marcado?;Sí, según lo establecido en el Artículo 370, un tercero puede utilizar una marca registrada para indicar la existencia o disponibilidad de productos legítimamente marcados siempre que tal uso sea de buena fe y no induzca a error o confusión sobre el origen empresarial.
Art. 371.- Del agotamiento del derecho.- El registro de una marca no conferirá el derecho de impedir a un tercero realizar actos de comercio respecto de un producto protegido por dicho registro, después de que ese producto se hubiese introducido en el comercio de cualquier país.;Alta;Un tercer partido puede continuar vendiendo un producto ya registrado con una marca después de que este haya sido comercializado en otro país?;Sí, según el artículo 371 del manual de marca, un tercero puede continuar vendiendo un producto ya registrado con una marca después de que este haya sido comercializado en otro país. Esto se debe a que el registro de la marca no otorga derecho para impedir actos comerciales respecto de ese producto una vez que ha sido introducido en el comercio de cualquier país.
"Art. 372.- Prohibición de comercialización de productos y servicios identificados con la marca extranjera.- Cuando en un país miembro del Convenio de París, ADPIC o con los que el Ecuador tenga alguna clase de convenio en materia de propiedad industrial, se encuentre registrada una marca idéntica o similar a una registrada en el país pero a nombre de un titular diferente, para distinguir los mismos productos o servicios, se prohíbe la comercialización en el país de los productos o servicios identificados con la marca extranjera, salvo que los titulares de las marcas

suscriban acuerdos que permitan dicha comercialización.";Alta;Se permite la comercialización de un producto o servicio identificado con una marca extranjera en un país miembro del Convenio de París, ADPIC o con convenios similares, si los titulares de las marcas han suscrito acuerdos que permitan dicha comercialización?;No. La respuesta es no.
En caso de llegarse a tales acuerdos, las partes deberán asumir las obligaciones necesarias para evitar la confusión del público respecto del origen de las mercancías o servicios de que se trate, incluyendo lo relativo a la identificación del origen de los productos o servicios en cuestión con caracteres destacados y proporcionales a los mismos para la debida información al público consumidor. Esos acuerdos deberán respetar el interés público y las normas sobre prácticas comerciales restrictivas de la libre competencia y competencia desleal. Además, se inscribirán ante la autoridad nacional competente en materia de derechos intelectuales.;Alta;Qué medidas deben adoptarse para evitar la confusión del público respecto del origen de las mercancías o servicios?;Las partes involucradas deberían identificar el origen de los productos o servicios con caracteres destacados y proporcionales a ellos, con el fin de brindar información adecuada al consumidor. Esto ayudaría a evitar la confusión del público respecto del origen de las mercancías o servicios en cuestión.
"En cualquier caso, no se prohibirá la importación de un producto o servicio que se encuentre en la situación descrita en el primer párrafo de este artículo, cuando la marca no esté siendo utilizada en el país, según lo dispuesto en el artículo 380, salvo que el titular de dicha marca demuestre ante la autoridad nacional competente en materia de derechos intelectuales, que la no utilización de la marca obedece a causas justificadas.

Art. 373.- Obligación de indicar el lugar de fabricación del producto o servicio.- Cuando la marca consista en un nombre geográfico, no podrá comercializarse el producto o prestarse el servicio sin indicarse en forma visible y claramente legible, el lugar de fabricación del producto u origen del servicio.";Alta;Es obligatorio indicar el lugar de fabricación del producto o servicio si la marca consiste en un nombre geográfico?;Sí, es obligatorio indicar el lugar de fabricación del producto o servicio. De acuerdo con el artículo 373, cuando la marca consista en un nombre geográfico, no podrá comercializarse el producto o prestarse el servicio sin indicarse en forma visible y claramente legible, el lugar de fabricación del producto u origen del servicio.
"Art. 374.- Transferencia de registro de la marca.- Un registro de marca o una solicitud en trámite de registro es transferible por acto entre vivos y transmisible por causa de muerte, con o sin la empresa a la cual pertenece.

Deberá inscribirse ante la autoridad nacional competente en materia de derechos intelectuales y surtirán efectos a partir de su inscripción ante la autoridad nacional competente en materia de derechos intelectuales.

A efectos de la inscripción, la transferencia deberá constar por escrito.

Cualquier persona interesada podrá solicitar la inscripción de una transferencia. No obstante, la autoridad nacional competente podrá denegar dicha inscripción si la transferencia acarreare riesgo de confusión o de asociación.";Alta;La transferencia de un registro de marca debe constar por escrito a efectos de su inscripción?;Sí, según el artículo 374 del manual de marca, la transferencia de un registro de marca deberá constar por escrito a efectos de su inscripción.
"Art. 375.- Licencia para la explotación de la marca.- Un registro de marca o una solicitud en trámite de registro podrá ser objeto de licencia a uno o más terceros para la explotación de la marca respectiva.

Deberá inscribirse ante la autoridad nacional competente en materia de derechos intelectuales y surtirán efectos a partir de su inscripción ante la autoridad nacional competente en materia de

derechos intelectuales.

Cualquier persona interesada podrá solicitar la inscripción de una licencia.";Alta;Qué tipo de registro es necesario para que surtan efectos una solicitud de licencia para la explotación de una marca?;Un registro de marca o una solicitud en trámite de registro.
Art. 376.- Inscripción de los contratos de transferencia o licencia.- La autoridad nacional competente en materia de derechos intelectuales no inscribirá los contratos a través de los cuales se transfiera o se conceda licencia para la explotación de marcas que no se ajusten a las disposiciones del Régimen Común de Tratamiento a los Capitales Extranjeros y sobre Marcas, Patentes, Licencias y Regalías, o que no se ajusten a las disposiciones comunitarias o nacionales sobre prácticas comerciales restrictivas de la libre competencia y competencia desleal. Caso contrario, en lo que fuere pertinente, se estará a lo dispuesto en la Ley Orgánica de Regulación y Control del Poder de Mercado y se aplicarán las sanciones previstas en la misma.;Alta;Se pueden inscribir los contratos de transferencia o licencia para la explotación de marcas que ajusten a las disposiciones comunitarias o nacionales sobre prácticas comerciales restrictivas de la libre competencia y competencia desleal?;Sí, se pueden inscribir los contratos de transferencia o licencia para la explotación de marcas siempre y cuando ajusten a las disposiciones comunitarias o nacionales sobre prácticas comerciales restrictivas de la libre competencia y competencia desleal.
"Las sub-licencias requerirán autorización expresa del titular de los derechos.

Art. 377.- Modificaciones al registro.- El titular de una marca registrada deberá pedir a la autoridad nacional competente en materia de derechos intelectuales que se inscriba cualquier cambio en el nombre, dirección u otros datos del titular, de su representante o apoderado. En caso contrario, cualquier notificación realizada conforme a los datos que figuren en el registro se reputará válida.";Alta;Se requiere autorización expresa del titular de los derechos para realizar sub-licencias?;Sí, según lo establecido en el contexto, las sub-licencias requerirán autorización expresa del titular de los derechos.
